"Method Name",MLOC
javax.accessibility.AccessibleValue#setCurrentAccessibleValue(java.lang.Number),1
javax.accessibility.AccessibleValue#getMinimumAccessibleValue(),1
javax.accessibility.AccessibleValue#getMaximumAccessibleValue(),1
javax.annotation.processing.AbstractProcessor#getSupportedOptions(),7
javax.annotation.processing.AbstractProcessor#getSupportedAnnotationTypes(),13
javax.annotation.processing.AbstractProcessor#getSupportedSourceVersion(),14
javax.annotation.processing.AbstractProcessor#init(javax.annotation.processing.ProcessingEnvironment),9
javax.annotation.processing.AbstractProcessor#process(java.util.Set<javax.lang.model.element.TypeElement> javax.annotation.processing.RoundEnvironment),2
javax.annotation.processing.AbstractProcessor#getCompletions(javax.lang.model.element.Element javax.lang.model.element.AnnotationMirror javax.lang.model.element.ExecutableElement java.lang.String),6
javax.annotation.processing.AbstractProcessor#isInitialized(),3
javax.annotation.processing.AbstractProcessor#arrayToSet(java.lang.String[]),7
javax.annotation.processing.Completion#getValue(),1
javax.annotation.processing.Completion#getMessage(),1
javax.annotation.processing.Completions#of(java.lang.String java.lang.String),3
javax.annotation.processing.Completions#of(java.lang.String),3
javax.annotation.processing.Filer#createSourceFile(java.lang.CharSequence javax.lang.model.element.Element ...),2
javax.annotation.processing.Filer#createClassFile(java.lang.CharSequence javax.lang.model.element.Element ...),2
javax.annotation.processing.Filer#createResource(JavaFileManager.Location java.lang.CharSequence java.lang.CharSequence javax.lang.model.element.Element ...),4
javax.annotation.processing.Filer#getResource(JavaFileManager.Location java.lang.CharSequence java.lang.CharSequence),3
javax.annotation.processing.Messager#printMessage(Diagnostic.Kind java.lang.CharSequence),1
javax.annotation.processing.Messager#printMessage(Diagnostic.Kind java.lang.CharSequence javax.lang.model.element.Element),1
javax.annotation.processing.Messager#printMessage(Diagnostic.Kind java.lang.CharSequence javax.lang.model.element.Element javax.lang.model.element.AnnotationMirror),1
javax.annotation.processing.Messager#printMessage(Diagnostic.Kind java.lang.CharSequence javax.lang.model.element.Element javax.lang.model.element.AnnotationMirror javax.lang.model.element.AnnotationValue),5
javax.annotation.processing.ProcessingEnvironment#getOptions(),1
javax.annotation.processing.ProcessingEnvironment#getMessager(),1
javax.annotation.processing.ProcessingEnvironment#getFiler(),1
javax.annotation.processing.ProcessingEnvironment#getElementUtils(),1
javax.annotation.processing.ProcessingEnvironment#getTypeUtils(),1
javax.annotation.processing.ProcessingEnvironment#getSourceVersion(),1
javax.annotation.processing.ProcessingEnvironment#getLocale(),1
javax.annotation.processing.Processor#getSupportedOptions(),1
javax.annotation.processing.Processor#getSupportedAnnotationTypes(),1
javax.annotation.processing.Processor#getSupportedSourceVersion(),1
javax.annotation.processing.Processor#init(javax.annotation.processing.ProcessingEnvironment),1
javax.annotation.processing.Processor#process(java.util.Set<javax.lang.model.element.TypeElement> javax.annotation.processing.RoundEnvironment),2
javax.annotation.processing.Processor#getCompletions(javax.lang.model.element.Element javax.lang.model.element.AnnotationMirror javax.lang.model.element.ExecutableElement java.lang.String),4
javax.annotation.processing.RoundEnvironment#processingOver(),1
javax.annotation.processing.RoundEnvironment#errorRaised(),1
javax.annotation.processing.RoundEnvironment#getRootElements(),1
javax.annotation.processing.RoundEnvironment#getElementsAnnotatedWith(javax.lang.model.element.TypeElement),1
javax.annotation.processing.RoundEnvironment#getElementsAnnotatedWith(java.lang.Class<java.lang.annotation.Annotation>),1
javax.annotation.processing.Completions.SimpleCompletion#getValue(),3
javax.annotation.processing.Completions.SimpleCompletion#getMessage(),3
javax.annotation.processing.Completions.SimpleCompletion#toString(),4
javax.imageio.IIOImage#getRenderedImage(),5
javax.imageio.IIOImage#setRenderedImage(java.awt.image.RenderedImage),9
javax.imageio.IIOImage#hasRaster(),5
javax.imageio.IIOImage#getRaster(),5
javax.imageio.IIOImage#setRaster(java.awt.image.Raster),9
javax.imageio.IIOImage#getNumThumbnails(),3
javax.imageio.IIOImage#getThumbnail(int),6
javax.imageio.IIOImage#getThumbnails(),3
javax.imageio.IIOImage#setThumbnails(java.util.List<java.awt.image.BufferedImage>),3
javax.imageio.IIOImage#getMetadata(),3
javax.imageio.IIOImage#setMetadata(javax.imageio.metadata.IIOMetadata),3
javax.imageio.IIOParam#setSourceRegion(java.awt.Rectangle),31
javax.imageio.IIOParam#getSourceRegion(),6
javax.imageio.IIOParam#setSourceSubsampling(int int int int),34
javax.imageio.IIOParam#getSourceXSubsampling(),3
javax.imageio.IIOParam#getSourceYSubsampling(),3
javax.imageio.IIOParam#getSubsamplingXOffset(),3
javax.imageio.IIOParam#getSubsamplingYOffset(),3
javax.imageio.IIOParam#setSourceBands(int[]),20
javax.imageio.IIOParam#getSourceBands(),6
javax.imageio.IIOParam#setDestinationType(javax.imageio.ImageTypeSpecifier),3
javax.imageio.IIOParam#getDestinationType(),3
javax.imageio.IIOParam#setDestinationOffset(java.awt.Point),6
javax.imageio.IIOParam#getDestinationOffset(),3
javax.imageio.IIOParam#setController(javax.imageio.IIOParamController),3
javax.imageio.IIOParam#getController(),3
javax.imageio.IIOParam#getDefaultController(),3
javax.imageio.IIOParam#hasController(),3
javax.imageio.IIOParam#activateController(),6
javax.imageio.IIOParamController#activate(javax.imageio.IIOParam),1
javax.imageio.ImageIO#scanForPlugins(),3
javax.imageio.ImageIO#getCacheInfo(),9
javax.imageio.ImageIO#getTempDir(),4
javax.imageio.ImageIO#hasCachePermission(),34
javax.imageio.ImageIO#setUseCache(boolean),3
javax.imageio.ImageIO#getUseCache(),3
javax.imageio.ImageIO#setCacheDirectory(java.io.File),7
javax.imageio.ImageIO#getCacheDirectory(),3
javax.imageio.ImageIO#createImageInputStream(java.lang.Object),32
javax.imageio.ImageIO#createImageOutputStream(java.lang.Object),32
javax.imageio.ImageIO#getReaderWriterInfo(java.lang.Class<unknown.S> unknown.SpiInfo),19
javax.imageio.ImageIO#getReaderFormatNames(),4
javax.imageio.ImageIO#getReaderMIMETypes(),4
javax.imageio.ImageIO#getReaderFileSuffixes(),4
javax.imageio.ImageIO#getImageReaders(java.lang.Object),16
javax.imageio.ImageIO#getImageReadersByFormatName(java.lang.String),18
javax.imageio.ImageIO#getImageReadersBySuffix(java.lang.String),18
javax.imageio.ImageIO#getImageReadersByMIMEType(java.lang.String),18
javax.imageio.ImageIO#getWriterFormatNames(),4
javax.imageio.ImageIO#getWriterMIMETypes(),4
javax.imageio.ImageIO#getWriterFileSuffixes(),4
javax.imageio.ImageIO#contains(java.lang.String[] java.lang.String),9
javax.imageio.ImageIO#getImageWritersByFormatName(java.lang.String),18
javax.imageio.ImageIO#getImageWritersBySuffix(java.lang.String),18
javax.imageio.ImageIO#getImageWritersByMIMEType(java.lang.String),18
javax.imageio.ImageIO#getImageWriter(javax.imageio.ImageReader),57
javax.imageio.ImageIO#getImageReader(javax.imageio.ImageWriter),57
javax.imageio.ImageIO#getImageWriters(javax.imageio.ImageTypeSpecifier java.lang.String),23
javax.imageio.ImageIO#getImageTranscoders(javax.imageio.ImageReader javax.imageio.ImageWriter),24
javax.imageio.ImageIO#read(java.io.File),18
javax.imageio.ImageIO#read(java.io.InputStream),12
javax.imageio.ImageIO#read(java.net.URL),23
javax.imageio.ImageIO#read(javax.imageio.stream.ImageInputStream),23
javax.imageio.ImageIO#write(java.awt.image.RenderedImage java.lang.String javax.imageio.stream.ImageOutputStream),34
javax.imageio.ImageIO#write(java.awt.image.RenderedImage java.lang.String java.io.File),22
javax.imageio.ImageIO#write(java.awt.image.RenderedImage java.lang.String java.io.OutputStream),21
javax.imageio.ImageReadParam#setDestinationType(javax.imageio.ImageTypeSpecifier),4
javax.imageio.ImageReadParam#setDestination(java.awt.image.BufferedImage),3
javax.imageio.ImageReadParam#getDestination(),3
javax.imageio.ImageReadParam#setDestinationBands(int[]),19
javax.imageio.ImageReadParam#getDestinationBands(),7
javax.imageio.ImageReadParam#canSetSourceRenderSize(),3
javax.imageio.ImageReadParam#setSourceRenderSize(java.awt.Dimension),16
javax.imageio.ImageReadParam#getSourceRenderSize(),4
javax.imageio.ImageReadParam#setSourceProgressivePasses(int int),16
javax.imageio.ImageReadParam#getSourceMinProgressivePass(),3
javax.imageio.ImageReadParam#getSourceMaxProgressivePass(),7
javax.imageio.ImageReadParam#getSourceNumProgressivePasses(),3
javax.imageio.ImageReader#getFormatName(),3
javax.imageio.ImageReader#getOriginatingProvider(),3
javax.imageio.ImageReader#setInput(java.lang.Object boolean boolean),29
javax.imageio.ImageReader#setInput(java.lang.Object boolean),4
javax.imageio.ImageReader#setInput(java.lang.Object),3
javax.imageio.ImageReader#getInput(),3
javax.imageio.ImageReader#isSeekForwardOnly(),3
javax.imageio.ImageReader#isIgnoringMetadata(),3
javax.imageio.ImageReader#getMinIndex(),3
javax.imageio.ImageReader#getAvailableLocales(),7
javax.imageio.ImageReader#setLocale(java.util.Locale),18
javax.imageio.ImageReader#getLocale(),3
javax.imageio.ImageReader#getNumImages(boolean),1
javax.imageio.ImageReader#getWidth(int),1
javax.imageio.ImageReader#getHeight(int),1
javax.imageio.ImageReader#isRandomAccessEasy(int),3
javax.imageio.ImageReader#getAspectRatio(int),3
